Sexo;Edad;Estrato;Programa Académico;Año;P1 ;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33
Hombre;30;Estrato 3;Licenciatura Filosofia;2010;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Poco importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Poco importante;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Mujer;19;Estrato 3;Licenciatura Filosofia;2017;Ninguna;Nunca;Ninguna;Ninguna;Valores;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Nada importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Centro;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Hombre;21;Estrato 2;Licenciatura Filosofia;2018;Agnostico;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;En desacuerdo;Ni de acuerdo Ni en desacuerdo;De acuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;No sabe/No Responde;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No sabe
Mujer;20;Estrato 3;Filosofia;2017;Agnostico;Nunca;Grupo Cultural;Ninguna;Acompañamiento;Ni poco importante Ni importante;Nada importante;Nada importante;Nada importante;Nada importante;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Centro;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;Todas las anteriores;No sabe;Si
Hombre;22;Estrato 3;Filosofia;2015;Ninguna;Nunca;Ninguna;Ninguna;Acompañamiento;Importante;Poco importante;Nada importante;Importante;Nada importante;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Izquierda;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Evangelica;Conservacion del templo;Si
Mujer;19;Estrato 3;Trabajo Social;2017;Catolico;Nunca;Ninguna;Crianza;"Valores;Acompañamiento";Poco importante;Muy importante;Importante;Ni poco importante Ni importante;Nada importante;Ni de acuerdo Ni en desacuerdo;De acuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Centro;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Cristiana;Conservacion del templo;No sabe
Mujer;19;Estrato 4;Filosofia;2017;Ninguna;Nunca;Ninguna;Crianza;Oracion;Ni poco importante Ni importante;Ni poco importante Ni importante;Ni poco importante Ni importante;Poco importante;Nada importante;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;Conservacion del templo;No
Hombre;21;Estrato 2;Licenciatura Filosofia;2015;Ninguna;Nunca;Movimiento social o politico;Ninguna;Oracion;Nada importante;Nada importante;Nada importante;Poco importante;Ni poco importante Ni importante;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Hombre;36;Estrato 2;Filosofia;2014;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Centro;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Todas las anteriores;No sabe;No
Mujer;19;Estrato 1;Trabajo Social;2016;Ninguna;Nunca;Ninguna;Ninguna;Ninguna;Nada importante;Nada importante;Nada importante;Nada importante;Nada importante;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;En desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Izquierda;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;Ni de acuerdo Ni en desacuerdo;Totalmente en desacuerdo;De acuerdo;Todas las anteriores;Conservacion del templo;No sabe
